Model,Version,Tag,Step,Value,Wall Time
pspnet_resnet34,version_0,test_per_image_iou,47300,0.5516877770423889,1737164822.432051
pspnet_resnet34,version_0,test_dataset_iou,47300,0.5217376947402954,1737164822.432056
pspnet_resnet34,version_0,test_accuracy,47300,0.8565099239349365,1737164822.43206
pspnet_resnet34,version_0,test_inaccuracy,47300,0.14349006116390228,1737164822.4320633
pspnet_resnet34,version_0,test_precision,47300,0.6092032194137573,1737164822.432067
pspnet_resnet34,version_0,test_sensitivity,47300,0.9173742532730103,1737164822.4320703
linknet_resnet34,version_0,test_loss_epoch,47300,0.26322445273399353,1737302372.2226353
linknet_resnet34,version_0,test_per_image_iou,47300,0.6103147864341736,1737302372.2226484
linknet_resnet34,version_0,test_dataset_iou,47300,0.5604510307312012,1737302372.2226539
linknet_resnet34,version_0,test_accuracy,47300,0.8698448538780212,1737302372.2226596
linknet_resnet34,version_0,test_inaccuracy,47300,0.13015516102313995,1737302372.222663
linknet_resnet34,version_0,test_precision,47300,0.633567750453949,1737302372.2226663
linknet_resnet34,version_0,test_sensitivity,47300,0.9688883423805237,1737302372.2226694
unetplusplus_mobileone_s0,version_0,test_loss_epoch,94500,0.2616977095603943,1741340012.9068244
unetplusplus_mobileone_s0,version_0,test_per_image_iou,94500,0.6071096062660217,1741340012.906849
unetplusplus_mobileone_s0,version_0,test_dataset_iou,94500,0.5615351796150208,1741340012.9068542
unetplusplus_mobileone_s0,version_0,test_accuracy,94500,0.8701292872428894,1741340012.9068582
unetplusplus_mobileone_s0,version_0,test_inaccuracy,94500,0.1298706829547882,1741340012.9068615
unetplusplus_mobileone_s0,version_0,test_precision,94500,0.6340935826301575,1741340012.906865
unetplusplus_mobileone_s0,version_0,test_sensitivity,94500,0.9713419675827026,1741340012.9068682
upernet_resnet34,version_0,test_loss_epoch,47300,0.2813330590724945,1737371225.645175
upernet_resnet34,version_0,test_per_image_iou,47300,0.580116331577301,1737371225.645189
upernet_resnet34,version_0,test_dataset_iou,47300,0.541452944278717,1737371225.6451948
upernet_resnet34,version_0,test_accuracy,47300,0.8614502549171448,1737371225.6451988
upernet_resnet34,version_0,test_inaccuracy,47300,0.1385497748851776,1737371225.6452024
upernet_resnet34,version_0,test_precision,47300,0.6160613894462585,1737371225.6452057
upernet_resnet34,version_0,test_sensitivity,47300,0.956203281879425,1737371225.6452093
unetplusplus_densenet121,version_0,test_loss_epoch,94500,0.25505656003952026,1737571471.4072063
unetplusplus_densenet121,version_0,test_per_image_iou,94500,0.6164449453353882,1737571471.4072196
unetplusplus_densenet121,version_0,test_dataset_iou,94500,0.5673649311065674,1737571471.4072247
unetplusplus_densenet121,version_0,test_accuracy,94500,0.8722734451293945,1737571471.4072285
unetplusplus_densenet121,version_0,test_inaccuracy,94500,0.1277265101671219,1737571471.407232
unetplusplus_densenet121,version_0,test_precision,94500,0.6391193270683289,1737571471.4072356
unetplusplus_densenet121,version_0,test_sensitivity,94500,0.9770166873931885,1737571471.4072387
unetplusplus_resnet50,version_2,test_loss_epoch,0,0.2606732249259949,1737506654.5244367
unetplusplus_resnet50,version_2,test_per_image_iou,0,0.6070478558540344,1737506654.5244508
unetplusplus_resnet50,version_2,test_dataset_iou,0,0.5640445947647095,1737506654.524461
unetplusplus_resnet50,version_2,test_accuracy,0,0.871470034122467,1737506654.5244665
unetplusplus_resnet50,version_2,test_inaccuracy,0,0.12853002548217773,1737506654.5244696
unetplusplus_resnet50,version_2,test_precision,0,0.6347199082374573,1737506654.5244727
unetplusplus_resnet50,version_2,test_sensitivity,0,0.9714109301567078,1737506654.5244756
pan_resnet34,version_0,test_loss_epoch,47300,0.2815496027469635,1737356090.7011445
pan_resnet34,version_0,test_per_image_iou,47300,0.5789056420326233,1737356090.7011602
pan_resnet34,version_0,test_dataset_iou,47300,0.5415360927581787,1737356090.701166
pan_resnet34,version_0,test_accuracy,47300,0.8609746694564819,1737356090.7011697
pan_resnet34,version_0,test_inaccuracy,47300,0.13902533054351807,1737356090.7011735
pan_resnet34,version_0,test_precision,47300,0.6111539602279663,1737356090.7011766
pan_resnet34,version_0,test_sensitivity,47300,0.9597291350364685,1737356090.7011797
